iter,sample_size,num_GRMs,logLL,dLLpred,dogleg_newton
1,3000,5,143.419,85.1342,1
2,3000,5,225.837,1.16538,1
3,3000,5,226.701,0.027954,1
4,3000,5,226.742,0.00150785,1
